sender,total_sent
carNoIp[7],621
carNoIp[14],635
carNoIp[5],653
carNoIp[3],710
carNoIp[51],637
carNoIp[36],674
carNoIp[18],754
carNoIp[52],671
carNoIp[10],784
carNoIp[19],759
carNoIp[67],642
carNoIp[15],785
carNoIp[100],567
carNoIp[27],757
carNoIp[9],825
carNoIp[20],797
carNoIp[31],775
carNoIp[24],804
carNoIp[76],677
carNoIp[11],881
carNoIp[49],835
carNoIp[23],919
carNoIp[91],770
carNoIp[6],973
carNoIp[113],699
carNoIp[25],932
carNoIp[22],964
carNoIp[118],717
carNoIp[17],980
carNoIp[13],999
carNoIp[26],966
carNoIp[66],878
carNoIp[101],805
carNoIp[105],805
carNoIp[54],948
carNoIp[154],698
carNoIp[61],939
carNoIp[38],998
carNoIp[30],1033
carNoIp[43],1033
carNoIp[102],908
carNoIp[136],829
carNoIp[0],1155
carNoIp[99],935
carNoIp[8],1169
carNoIp[219],670
carNoIp[2],1199
carNoIp[55],1091
carNoIp[82],1009
carNoIp[96],991
carNoIp[32],1147
carNoIp[135],912
carNoIp[12],1216
carNoIp[39],1144
carNoIp[68],1074
carNoIp[169],839
carNoIp[112],968
carNoIp[16],1225
carNoIp[108],993
carNoIp[155],886
carNoIp[172],853
carNoIp[92],1056
carNoIp[139],946
carNoIp[111],1010
carNoIp[28],1214
carNoIp[80],1080
carNoIp[57],1160
carNoIp[95],1073
carNoIp[59],1162
carNoIp[89],1103
carNoIp[40],1213
carNoIp[127],1045
carNoIp[50],1246
carNoIp[4],1352
carNoIp[46],1254
carNoIp[159],976
carNoIp[238],795
carNoIp[47],1281
carNoIp[58],1269
carNoIp[21],1363
carNoIp[166],1009
carNoIp[137],1091
carNoIp[44],1320
carNoIp[37],1341
carNoIp[86],1241
carNoIp[78],1256
carNoIp[85],1258
carNoIp[193],991
carNoIp[117],1191
carNoIp[41],1383
carNoIp[45],1385
carNoIp[53],1381
carNoIp[97],1273
carNoIp[93],1292
carNoIp[167],1120
carNoIp[88],1331
carNoIp[142],1200
carNoIp[131],1240
carNoIp[79],1365
carNoIp[83],1368
carNoIp[63],1435
carNoIp[177],1151
carNoIp[115],1306
carNoIp[35],1511
