t,receiver,sender,msgId,lat,lon,dist_m,delay_ms,Numer of Vehicles,verified,spdu_overhead,cert_metadata,digest_size,pk_size,sig_size,bsm_data_size,spdu_size,Algorithm,signerType
1.103000,rsu[0],carNoIp[10],0,829.784000,1029.800000,172.877,3.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.105000,rsu[0],carNoIp[9],0,498.758000,1029.800000,502.152,5.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.118000,rsu[0],carNoIp[5],0,1023.400000,875.104000,127.167,18.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.123000,rsu[0],carNoIp[7],0,1026.599000,1185.489000,187.453,23.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.133000,rsu[0],carNoIp[6],0,1026.599000,1643.539000,644.108,33.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.141000,rsu[0],carNoIp[4],0,1020.200000,612.725000,387.834,41.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.150000,rsu[0],carNoIp[3],0,1023.400000,861.590000,140.463,50.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.183000,rsu[0],carNoIp[11],0,501.016000,1026.599000,499.717,83.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.203000,rsu[0],carNoIp[10],1,830.008000,1029.800000,172.657,3.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.218000,rsu[0],carNoIp[5],1,1023.400000,875.332000,126.944,18.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.223000,rsu[0],carNoIp[7],1,1026.599000,1185.268000,187.234,23.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.241000,rsu[0],carNoIp[4],1,1020.200000,612.950000,387.609,41.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.250000,rsu[0],carNoIp[3],1,1023.400000,861.826000,140.231,50.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.283000,rsu[0],carNoIp[11],1,501.230000,1026.599000,499.504,83.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.303000,rsu[0],carNoIp[10],2,830.252000,1029.800000,172.416,3.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.305000,rsu[0],carNoIp[9],2,499.251000,1029.800000,501.660,5.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.318000,rsu[0],carNoIp[5],2,1023.400000,875.581000,126.699,18.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.323000,rsu[0],carNoIp[8],2,1026.599000,1406.376000,407.276,23.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.333000,rsu[0],carNoIp[6],2,1026.599000,1643.081000,643.650,33.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.341000,rsu[0],carNoIp[4],2,1020.200000,613.200000,387.359,41.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.350000,rsu[0],carNoIp[3],2,1023.400000,862.085000,139.975,50.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.383000,rsu[0],carNoIp[11],2,501.461000,1026.599000,499.273,83.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.403000,rsu[0],carNoIp[10],3,830.521000,1029.800000,172.152,3.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.405000,rsu[0],carNoIp[9],3,499.524000,1029.800000,501.387,5.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.418000,rsu[0],carNoIp[5],3,1023.400000,875.846000,126.439,18.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
1.423000,rsu[0],carNoIp[7],3,1026.599000,1184.763000,186.735,23.000,12,1,28,105,0,897,666,43,1739,Falcon-512,1
